--- 分析日志 for: .\VAH24.csv ---
--- 协议: CC charge current C/2 ---

发现 5656 个由Ns变化定义的片段。

片段 #     | 起始时间(s)         | 持续(s)      | 状态标签                                | 依据 (I, V, P)
--------------------------------------------------------------------------------------------------------------
1        | 0.00            | 5060.87    | 恒流充电 (CC Charge)                    | I= 1504.4mA, V=3.90V, P=  5.87W
2        | 5070.87         | 1580.77    | 恒压充电 (CV Charge)                    | I=  538.6mA, V=4.20V, P=  2.26W
3        | 6661.65         | 880.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
4        | 7551.69         | 3599.95    | RPT: C/5 容量测试放电                     | I= -595.6mA, V=4.06V, P= -2.42W
5        | 11151.65        | 30.00      | RPT: IR测量前静置                        | I=  -64.3mA, V=4.02V, P= -0.26W
6        | 11181.65        | 7200.00    | RPT: C/5 容量测试放电                     | I= -595.6mA, V=3.81V, P= -2.27W
7        | 18381.64        | 30.00      | RPT: IR测量前静置                        | I=  -64.1mA, V=3.64V, P= -0.23W
8        | 18411.64        | 7626.24    | RPT: C/5 容量测试放电                     | I= -595.7mA, V=3.30V, P= -1.96W

>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> RPT完成 & 验证点 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
>>> 在此RPT之前已完成的任务循环次数: 0
>>> 结论: 计数符合'每50个循环一次RPT'的规则。
>>> 数据点记录: Capacity = 3049.64 mAh, Cycle Number = 1
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 验证完成 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<

9        | 26047.88        | 890.00     | 静置 (Rest)                           | I=    0.0mA, V=2.76V, P=  0.00W
10       | 26967.88        | 6803.84    | 恒流充电 (CC Charge)                    | I= 1504.4mA, V=3.79V, P=  5.71W
11       | 33801.72        | 1342.39    | 恒压充电 (CV Charge)                    | I=  574.0mA, V=4.20V, P=  2.41W
12       | 35174.11        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
13       | 36044.15        | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-14356.4mA, V=3.73V, P=-53.49W
14       | 36119.11        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4261.7mA, V=3.81V, P=-16.21W
15       | 36919.11        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16038.9mA, V=3.28V, P=-52.47W
16       | 37034.11        | 801.58     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
17       | 37865.69        | 3590.50    | 恒流充电 (CC Charge)                    | I= 1504.4mA, V=3.99V, P=  6.00W
18       | 41486.19        | 1397.97    | 恒压充电 (CV Charge)                    | I=  529.8mA, V=4.20V, P=  2.23W
19       | 42914.16        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
20       | 43784.21        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14371.4mA, V=3.73V, P=-53.59W
21       | 43859.16        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4259.5mA, V=3.81V, P=-16.21W
22       | 44659.16        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16049.3mA, V=3.28V, P=-52.47W
23       | 44774.16        | 806.02     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
24       | 45610.18        | 3578.47    | 恒流充电 (CC Charge)                    | I= 1504.3mA, V=3.99V, P=  6.00W
25       | 49218.65        | 1387.99    | 恒压充电 (CV Charge)                    | I=  529.5mA, V=4.20V, P=  2.22W
26       | 50636.65        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
27       | 51506.69        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14369.3mA, V=3.73V, P=-53.60W
28       | 51581.65        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4259.2mA, V=3.81V, P=-16.21W
29       | 52381.65        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16071.5mA, V=3.28V, P=-52.47W
30       | 52496.64        | 739.86     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
31       | 53266.50        | 3580.78    | 恒流充电 (CC Charge)                    | I= 1504.5mA, V=3.99V, P=  6.00W
32       | 56877.29        | 1403.81    | 恒压充电 (CV Charge)                    | I=  527.3mA, V=4.20V, P=  2.21W
33       | 58311.10        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
34       | 59181.15        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14366.6mA, V=3.73V, P=-53.60W
35       | 59256.10        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4259.3mA, V=3.81V, P=-16.21W
36       | 60056.10        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16093.3mA, V=3.27V, P=-52.48W
37       | 60171.10        | 736.52     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
38       | 60937.62        | 3581.25    | 恒流充电 (CC Charge)                    | I= 1504.5mA, V=3.99V, P=  6.00W
